# DATA for Misr Sweets (format: CATEGORY | SKU | ITEM NAME | UNIT | PRICE)
نواشف و مربات | 1832 | نواشف | KG | 240.00
نواشف و مربات | 1833 | مربات | KG | 530.00
نواشف و مربات | 1834 | علف مشكل | KG | 275.00

باكو | 317 | فسدقية | Unit | 87.00
باكو | 316 | بندقية | Unit | 80.00
باكو | 318 | لوزية | Unit | 40.00
باكو | 319 | كاجو | Unit | 50.00
باكو | 2164 | لب أبيض | Unit | 30.00
باكو | 2173 | لب سوري | Unit | 22.00

حمص مقشور | 1509 | حمص مقشور 0.25 ك | Unit | 46.00
حمص مقشور | 391 | حمص مقشور 0.5 ك | Unit | 92.00

حلوى شعر | 2002 | حلاوة شعر 0.25 ك | Unit | 55.00
حلوى شعر | 340 | حلاوة شعر 0.5 ك | Unit | 110.00

حلوى قصة | 2028 | حلاوة قصة 220 جم | Unit | 35.00
حلوى قصة | 339 | حلاوة قصة 0.5 ك | Unit | 70.00

ملبن | 191 | ملبن حبل 100 جم | Unit | 50.00
ملبن | 1032 | علبه ملبن فواكه 150 جم | Unit | 25.00
ملبن | 388 | ملبن فواكه 0.5 ك | Unit | 65.00
ملبن | 119 | ملبن شيكولاته 150 جم | Unit | 25.00
ملبن | 120 | ملبن شيكولاته 0.5 ك | Unit | 65.00
ملبن | 1033 | ملبن مستكه 150 جم | Unit | 40.00
ملبن | 189 | ملبن مستكه 0.5 ك | Unit | 135.00
ملبن | 2031 | علبه ملبن مشكل 200 جرام | Unit | 80.00
ملبن | 1512 | علبه ملبن بندق 200 جرام | Unit | 88.00
ملبن | 446 | علبه ملبن كاجو 200 جرام | Unit | 60.00
ملبن | 933 | علبه ملبن فستق 200 جرام | Unit | 150.00
ملبن | 1513 | علبه ملبن سودانى 200 جرام | Unit | 45.00
ملبن | 1746 | ملبن تين عين جمل 75 جم | Unit | 35.00
ملبن | 1744 | ملبن رمان فسدق 75 جم | Unit | 60.00
ملبن | 2117 | علبه ملبن لوز 200 جرام | Unit | 60.00

مارشميلو | 1598 | علبه مارشملو 100 جم | Unit | 25.00
مارشميلو | 1074 | علبه مارشملو 175 جم | Unit | 40.00

مشبك | 634 | مشبك | KG | 125.00

عسل | 1185 | عسل نحل 450 جرام بلاستك اسكويز | Unit | 160.00
عسل | 1720 | عسل نحل 800 جرام بلاستك اسكويز | Unit | 245.00

حلاوة طحينية | 100007 | حلاوه طحينيه زبيب 0.25 ك | Unit | 50.00
حلاوة طحينية | 512 | حلاوه طحينيه زبيب 0.5 ك | Unit | 100.00
حلاوة طحينية | 14000 | حلاوة طحينية بندق 0.25 ك | Unit | 75.00
حلاوة طحينية | 1179 | حلاوة طحينية بندق 0.5 ك | Unit | 150.00
حلاوة طحينية | 10006 | حلاوة طحينية فسدق 0.25 ك | Unit | 78.00
حلاوة طحينية | 1177 | حلاوة طحينية فسدق 0.5 ك | Unit | 155.00

علب جاهزة | 2131 | علبه بوكس كبير المولد جاهزة | Unit | 2085.00
علب جاهزة | 2132 | علبه بوكس صغيرة المولد جاهزة | Unit | 1740.00
علب جاهزة | 2137 | علبه جاهزة 1 ك نواشف + 1/2 ك مربات | Unit | 505.00
علب جاهزة | 2138 | علبه جاهزة 3/4 ك نواشف + 1/4 ك مربات | Unit | 313.00
علب جاهزة | 2139 | علبه جاهزة 1/2 ك نواشف + 1/2 ك مربات | Unit | 385.00
علب جاهزة | 2140 | علبه جاهزة 1.5 ك نواشف + 1/2 ك مربات | Unit | 625.00
علب جاهزة | 2141 | علبه جاهزة 1 ك نواشف + 1 ك مربات | Unit | 770.00
علب جاهزة | 2134 | علبه جاهزة 1ك نواشف | Unit | 240.00
علب جاهزة | 2133 | علبه جاهزة 1/2ك نواشف | Unit | 120.00
علب جاهزة | 2135 | علبه جاهزة 1.5ك نواشف | Unit | 360.00
علب جاهزة | 2136 | علبه جاهزة 2ك نواشف | Unit | 480.00
علب جاهزة | 20000 | علبه هديه صغيرة | Unit | 850.00
علب جاهزة | 20001 | علبه هديه كبيرة | Unit | 1450.00

